"","IT_questions"
"420","야근에 대해서 어떻게 생각하는가?"
"421","회사 제품에 대해서 아는 대로 말해보시오."
"422","결혼했다면 부부가 치약을 어떤식으로 짜서 쓰느냐?"
"423","가족관계는?"
"424","취미는 무엇인가?"
"425","하고싶은 분야는 무엇인가?"
"426","회사에서 하고 있는 일에 대해서 궁금한 것"
"427","UNIX명령어를 아는대로 20개를 말해보시오"
"428","고학력자 출신이 많은데 그 가운데에서 잘 할 수 있겠느냐?"
"429","미들웨어에 대해 어느 정도 아는가?"
"430","주말에 근무를 할 수 있는데 출근이 가능한가?"
"431","R&D 직무에 지원했는데 데이터 분석에 관심을 갖게 된 계기가 있나요?"
"432","말한 경험들이 정확히 언제 언제 했는지 말해보세요."
"433","개발 언어 할 줄 아는 것이 있나요?"
"434","자신만의 특출난 점이 있는가? 무엇인지 말해보시오."
"435","자신만의 특출난 점은 무엇이며, 그것을 정량적인 수치로 말해보아라."
"436","인생에서 가장 힘들었던 순간과 이를 어떻게 극복했는지 말해달라"
"437","인생에서 가장 힘들었던 순간과 이를 어떻게 극복했는지 말해달라."
"438","자신이 갖고 있는 '대한민국 1%안에 드는 무언가'를 말해보시오."
"439","자신이 주도한 프로젝트에서 실패한 경험을 말해보시오."
"440","마지막으로 하고 싶은 말은 무엇인가?"
"441","임금피크제에 대한 개인의 의견을 말해달라."
"442","회사 경험이 있는데 무엇을 했나?"
"443","그러면 그 직무에 대해서 말해보시오."
"444","사용해본 언어는 뭐가 있는가?"
"445","오토에버의 어떤 직무에 지원했는가?"
"446","자신의 강점이 무엇인가? (IT부분)"
"447","만나는 친구들이 많은가요?"
"448","프로젝트 해본 경험을 말해보세요."
"449","취미생활이 있나요?"
"450","가장 열정적으로 했던 프로젝트 경험은 무엇인가?"
"451","롯데에서 제공하는 서비스 중 이용해본 서비스는 무엇이고 불편했던 점은 무엇인가?"
"452","옛것을 고집하는 상사가 있는데 자신은 앞으로 나아가야 한다고 생각한다 어떻게 설득할 것인가?"
"453","1분 자기소개"
"454","자기소개에 작성한 경험 질문"
"455","입사 후 포부"
"456","어떠한 직무에서 일을 하고 싶은가?"
"457","가장 기억에 남는 전공과목은?"
"458","인턴을 하면서 가장 기억에 남는 일은?"
"459","취미가 무엇이며, 보통 얼마나 하는가?"
"460","좌우명이 무엇인가?"
"461","졸업프로젝트의 내용이 무엇인가?"
"462","내가 생각했던 업무와 받은 업무가 다를 때 어떻게 할 것인가?"
"463","같이 일하기 싫은 사람의 유형에 대해 말해보시오."
"464","같이 일하기 싫은 사람의 유형은?"
"465","인생에서 실패했던 경험은 무엇인가요?"
"466","노래 불러 보세요."
"467","인생에서 가장 힘들었던 일은 무엇이었나요?"
"468","프로젝트에 참여한 이유는 무엇인가"
"469","주력 언어와 본인 실력의 점수를 매긴다면 몇 점?"
"470","프로젝트를 하며 힘들었던 경험을 말해주세요"
"471","c와 java의 차이점은?"
"472","1분 자기소개를 부탁드리겠습니다."
"473","자신이 했던 연구와 우리 기업의 연구의 연관성에 대해 짧게 말씀해주세요."
"474","현재 면접 상황을 표현해보세요."
"475","자신이 다른 지원자들보다 뛰어난 것은 무엇입니까?"
"476","우유를 살 때 어떤 우유를 선택하는지?"
"477","스마트 팩토리에 대해 어떤 점을 준비해야 할지?"
"478","취미가 무엇인지?"
"479","성격에 대한 장단점"
"480","앞으로의 포부"
"481","영어로 자기소개를 하세요."
"482","인성 관련 질문이 90%"
"483","자기소개서 바탕의 질문"
"484","자소서에 대한 질문들"
"485","지원 업무에 대한 이해도"
"486","푸르덴셜이 어떤 회사인지 설명하라"
"487","학부 프로젝트 중 가장 인상 깊었던 프로젝트는?"
"488","야근이 많은데 버틸 수 있는가"
"489","왜 우리 회사를 선택했는가"
"490","지원 전에 우리 회사를 알고 있었는가"
"491","네이버 사이트에서 어떤 콘텐츠를 사용하시나요?"
"492","본인이 한 실수가 무엇이 있는지 또한 극복 방법이 무엇이었는지?"
"493","시사 이슈에 대해 네이버 서비스를 이용한 경험을 설명해보세요."
"494","주말에는 주로 무엇을 하는지?"
"495","자기소개를 해보세요."
"496","지원동기를 말해보세요."
"497","상사가 부당한 업무를 시킬경우 어떻게 할건가요?"
"498","팀내에서 갈등을 해결한 경험은?"
"499","원리, 원칙대로 따르고 행동한 경험은?"
"500","마지막으로 꼭 하고 갔으면 하는 말 있으면 해보세요."
"501","공항 내 전신 스캐너 도입에 대해 의견을 제시해보세요."
"502","다른 지원자들이 말한 내용을 정리해서 말해보세요."
"503","본인의 의견이 몇% 정도 반영되었다고 생각하는지 말해보세요."
"504","다른 지원자들이 말한 내용을 정리해서 말해보세요."
"505","다른 지원자들이 말했던 내용 중 이 점은 좋았다거나 개선되었으면 하는 점을 설명해보시오."
"506","인생에서 힘들었던 경험은 무엇입니까?"
"507","인천국제공항의 개선점은 무엇이라고 생각합니까?"
"508","입사 후 부여받을 직무가 무엇인지 알고 있나요?"
"509","보안의 3요소는 무엇인가?"
"510","입사 후 지원한 업무 말고 다른 업무를 맡게 될 경우 어떻게 할 것인가?"
"511","가장 기억에 남는 전공과목은?"
"512","제일 기억에 남는 프로젝트를 설명해달라"
"513","회사에 대해 아는대로 설명해달라"
"514","5분 동안 자기 PR을 해보세요."
"515","그동안 겪었던 어려웠던 일과 그에 대한 해결 방안에 대해 말해보세요."
"516","기억나는 전공에 대해 말해보세요."
"517","네트워크 기술/운영 직무가 어떤 일을 하는 것인지 알고 있습니까?"
"518","네트워크 실습에서 가상으로 단순하게 프로그래밍 실습을 한 건가요?"
"519","네트워크 직무에 대해서 아는 것을 말해보세요."
"520","네트워크 직무와 잘 맞다고 생각하나요? 그 이유는 무엇인가요?"
"521","본인만의 스트레스 해소법은 무엇인가요?"
"522","살면서 힘들었던 점과 뿌듯했던 점에 대해 말해보세요."
"523","왜 이 지역에 지원했나요?"
"524","자신있는 것을 어필하세요."
"525","직무적으로 어필하세요."
"526","취미 활동은 무엇인가요?"
"527","타 지역에 살고 있는데, 출퇴근이 가능한가요?"
"528","타 통신 회사도 있는데, 왜 굳이 LG유플러스이어야만 하는 것인가요?"
"529","LG유플러스에 오면 어떤 직무를 하고 싶은지 구체적으로 이야기해보세요."
"530","LG유플러스에서 입사한 지 5년, 10년 후 지원자의 계획은 어떻게 되는가요?"
"531","LTE 통신 기술이 어떻게 이루어지는지 설명해보세요."
"532","LTE에 대해 설명해보세요."
"533","그 전 면접에서는 왜 떨어졌다고 생각하나요?"
"534","마지막으로 하고 싶은 말이 있다면 해보세요."
"535","자유 주제로 전공에 대한 PT를 해보세요."
"536","어느 지역에서 근무하는 것이 편한가요?"
"537","본인의 인생 그래프에 대해 이야기해보세요."
"538","빅데이터가 무엇인가요?"
"539","주위에서 LG유플러스를 어떻게 생각하나요?"
"540","수많은 기업 중 LG를 선택한 이유는 무엇이며, 그중에서도 LG유플러스를 선택한 이유는 무엇인가?"
"541","자신이 했던 프로젝트에 대해서 설명해보세요."
"542","OSI 7 Layers의 개념에 대해 설명해보세요."
"543","그 사업이 끝난 후는 어떻게 되었는가?"
"544","네트워크 직무와 관련해서 노력한 부분은 무엇이 있는가?"
"545","리더로서 활동하면서 어려웠던 점과 리더의 자질로 중요한 것은 무엇인가?"
"546","사범대 부학생회장을 했다고 했는데 기존의 학생회와 다르게 새로이 진행한 사업이 있다면 무엇인가?"
"547","성격이 기복이 있어보이는데 그것에 대해서는 어떻게 생각하는가?"
"548","여러 통신사 중 왜 LG유플러스를 선택했는가?"
"549","요즘 관심있는 IT기술은 무엇이고 이유는 무엇인가?"
"550","인턴기간 동안 배운 내용은 무엇인가?"
"551","학교생활은 어땠는가?"
"552","회사에 들어와서 상사와의 어려움이 있을 시 어떻게 할 것인가?"
"553","LG유플러스의 네트워크 업무에 대해서 설명하라."
"554","각종 이미지 처리방식, 빅데이터, IOT등에 대해서 아는대로 질문은 선택하여 답변하라."
"555","OSI 계층간 프로토콜을 모두 설명하라."
"556","어떤직무인지 알고 지원했나?"
"557","왜 지원했나?"
"558","책임감 있냐??"
"559","그동안 했던 프로젝트가 무엇인가?"
"560","무엇을 잘할수 있는가?"
"561","봉사를 자주하는가?"
"562","일류기업이 되기 위한 구성원이 갖추어야할 덕목 3가지를 서술하세요"
"563","model 2 패턴이란?"
"564","가비지컬렉션이 첫번째 수행을 하고나서 내부에서 어떤 일이 발생하는가?"
"565","es6+의 var let const에 대해 설명하고 차이점을 아는데로 말해보세요."
"566","리눅스서버로 웹을 구축해본적이 있는가?"
"567","공백기가 긴데 뭘했나요?"
"568","스트레스를 풀기위해 하는 취미생활 있나요?"
"569","Restful에 대해 설명하세요."
"570","귀사의 제품을 쓰고 소감을 말해보시오."
"571","담당을 하게된다면 한글,한쇼,한셀중에 무엇을 하고싶나요?"
"572","자신이 했던 프로젝트중에 가장 성공적인 것에 대해 소개해주세요."
"573","왜 하필 웹개발이 하고 싶은가요?"
"574","model 2 패턴이란?"
"575","가비지컬렉션이 첫번째 수행을 하고나서 내부에서 어떤 일이 발생하는가?"
"576","es6+의 var let const에 대해 설명하고 차이점을 아는데로 말해보세요"
"577","리눅스서버로 웹을 구축해본적이 있는가?"
"578","공백기가 긴데 뭘했나요?"
"579","스트레스를 풀기위해 하는 취미생활 있나요?"
"580","Restful에 대해 설명하세요."
"581","귀사의 제품을 쓰고 소감을 말해보시오"
"582","담당을 하게 된다면 한글,한쇼,한셀중에 무엇을 하고싶은가?"
"583","본인이 했던 프로젝트중에 가장 성공적인것에 대해 소개해주세요."
"584","왜 하필 웹개발이 하고 싶은가요?"
"585","경험해본 프로젝트가 있습니까?"
"586","malloc과 new의 차이점은 무엇입니까?"
"587","자바에서 오버로드(Overload)와 오버라이딩(Overriding)의 차이점은 무엇입니까?"
"588","자신이 짠 코드에 대해 이야기하고 그 문제점에 대해서 토론 해보세요"
"589","pre-test에서 자바 Swing을 이용해 프로그래밍했는데 오버라이딩 한 메소드가 어떤 역할을 하는지 아십니까?"
"590","공인인증서 폐지에 대해 찬성, 반대 중 본인의 의견을 말해보아라."
"591","차세대 시스템 구축, 핀테크, 신사업 중 하나를 골라 자신의 역량으로 해결책을 제시해보아라."
"592","핀테크를 활용해서 KB국민카드에 어떻게 기여할 수 있겠는가?"
"593","2014년의 스포츠 마케팅에 대해 발표하라"
"594","PC방 흡연에 대한 찬반 토론을 하라"
"595","지원동기를 말해보시오."
"596","지원동기를 말해보시오."
"597","최근에 관심있게 가본 컨퍼런스가 있나요?"
"598","입사해서 어떤 일을 하게 될 것 같나요?"
"599","LG CNS에 지원한 동기는?"
"600","창의력은 무엇이라고 생각합니까?"
"601","가장 기억에 남는 프로젝트는 무엇입니까?"
"602","ㅇㅇ프로젝트를 진행하면서 기술적으로 가장 기억에 남았던 부분이 있다면?"
"603","스마트펙토리의 직군에 대해서 알고 지원했나?"
"604","스마트팩토리 직군 특성상 지방근무가 순환적인 지방근무가 필수적인데 괜찮겠나?"
"605","인턴 경험이 많은데 가장 기억에 남는 경험이 무엇인가?"
"606","우리회사에 대해 알고 있었는지?"
"607","지금 스마트팩토리 부문에 면접을 오신건데 어떤 일을 하는지 알고 지원하신건가? 우리가 뭘하는 부문인 것 같은가?"
"608","지방 근무나 해외 파견이 될 수 있다. 어떻게 할 건가? 여자친구는 있는지? 그런 상의는 해봤는지?"
"609","스마트팩토리에 대해서 아는대로 말해보세요."
"610","대학교 프로젝트 중에서 가장 기억에 남는게 무엇인가요?"
"611","스마트팩토리 직군은 지방에 파견될 수 있는데 지방근무도 괜찮은지?"
"612","입사하면 어느 팀으로 가고 싶은가?"
"613","입사하자마자 프로그래밍 업무가 주어질 수도 있는데, 지금 역량으로 가능하다고 생각하는가?"
"614","지원 분야에 대한 지식과 향후 발전 방향에 대해 말해보아라."
"615","컴퓨터과학을 이중 전공한다고 했는데, 컴퓨터과학과 컴퓨터공학의 차이는 무엇인지 설명할 수 있는가?"
"616","LG CNS 가 제공했거나 현재 서비스 중인 시스템에 대해 아는 게 있는가?"
"617","상견례가 잡혀있는 날, 갑자기 회사에 중요한 프로젝트가 잡히게 되었다면 어떻게 할 것인가?"
"618","주기적으로 하는 일이 있다면 무엇인가?"
"619","팀프로젝트를 할 때 팀에서 담당하는 위치가 무엇인가?"
"620","LG CNS에 지원하게 된 동기는?"
"621","SI를 한단어로 표현한다면?"
"622","65세 정년 의무화 찬반"
"623","다른 카드 회사가 아닌, 신한카드에 지원한 이유는 무엇인가요?"
"624","상사가 말도 안되는 불가능한 업무를 시킨다면 어떻게 대처하겠습니까?"
"625","신용카드 관한 정보를 어디에서 얻는 편인가요?"
"626","TA 관점에서 정보보안을 고려한 시스템 설계를 해보세요."
"627","자신의 별명을 말해보세요."
"628","다이나믹 프로그래밍, 백트래킹 알고리즘을 알고 있습니까?"
"629","회사에서 사용하는 시스템을 얼마나 알고 있나요?"
"630","본인의 우상 또는 존경하는사람?"
"631","우리회사에 지원한 이유?"
"632","개발이 하고싶은지 유지보수가 하고싶은지"
"633","만일 취업이 된다면 주거지는 어떻게 할 예정인지"
"634","마지막으로 하고싶은말"
"635","블록체인의 약점과 우리은행에서 이것을 어떻게 보완할 수 있나요?"
"636","왜 박사 진학을 안하고 우리은행에 지원했나요?"
"637","우리은행에서 좋은 IT 인재들을 등용하려면 어떻게 해야 할까요?"
"638","(AWS) EC2나 Lambda를 VPC에서 프라이빗 서브넷으로 구성하려고 하는데 어떻게 구성하는 것이 좋을까요?"
"639","(AWS) ECS, ECR, EKS, Fargate의 차이점?"
"640","맡고 있거나 맡았던 프로젝트 중에서 가장 인상깊은 것과 자신의 역할 및 기여도에 대한 부분, 동료와 협업했던 부분은 무엇인가요?"
"641","지금까지 살아오면서 조직활동을 통해 어려움을 겪은 경험에 대해 말해보아라."
"642","자신의 인생 그래프를 그려 보아라."
"643","SNS의 정의를 말해보아라."
"644","동아리 회장을 했다고 적었는데, 무슨 일을 했고, 지원자에게 어떻게 도움이 되었다고 생각하는가?"
"645","문제 해결을 위해 가장 필요한 것은 무엇이라고 생각하는가?"
"646","4차 산업혁명이란 무엇이라고 생각하나요?"
"647","4차 산업혁명에서 농협은행이 갖는 장점은 무엇이라고 생각하나요?"
"648","자기소개를 해보세요."
"649","정확히 어떤 직무를 하고 싶은지 말해주세요."
"650","자신의 강점에 대해 말해주세요 ."
"651","자기소개를 해보세요."
"652","저작권법을 얼마나 알고 있나요?"
"653","수행했던 프로젝트에 대해 설명해 주세요."
"654","자소서에 기재한 프로젝트 경험에 대해 설명해 주세요."
"655","실패 경험에 대해 말해주세요."
"656","스트레스는 어떻게 푸나요?"
"657","자기소개를 해보세요."
"658","SQLi에 대해 설명해보세요."
"659","블록체인에서 중요한게 뭔가요?"
"660","상속성에 대해 설명해보세요."
"661","오버로딩과 오버라이딩에 대해 설명해보세요."
"662","인터페이스 추상클래스에 대해 설명해보세요."
"663","자기소개 해보세요."
"664","해시코드에 대해 설명해보세요."
"665","compareTo 메소드에 대해 설명해보세요."
"666","OOP란 무엇인가요?"
"667","본인의 대인관계가 원만함을 증명할 수 있겠는가?"
"668","인생에서 가장 스트레스를 받았던 적은 언제인가?"
"669","조인에 대해서 설명해보고 조인의 종류에 대해 설명해보세요"
"670","Spring Framework가 무엇인가?"
"671","갈등을 극복했던 사례가 있나요?"
"672","개인정보보호 측면에서의 망분리의 장점은 무엇인가요?"
"673","데이터베이스 정규화 5차까지 설명해보십시오."
"674","산업은행 모바일 뱅킹을 사용해 본적이 있나요?"
"675","산업은행 모바일 뱅킹과 다른 은행의 모바일 뱅킹 차이점은 무엇인가요?"
"676","마지막으로 하고싶은말은 무엇인가요?"
"677","자기소개를 해주세요."
"678","핀테크가 어느 단계에 있다고 생각하는지 말씀해주세요."
"679","인턴으로 근무하면서 상사가 프로젝트에 참여시키지 않고 잡일만 시킨다면?"
"680","진행했던 프로젝트에 대해 말해보세요."
"681","서류통과한 회사를 다 말하시오"
"682","자신이 리더라고 생각합니까, 팔로워라고 생각합니까?"
"683","취중감형에 대해 찬반을 논하시오"
"684","한국 소프트웨어 산업이 더딘 이유를 분석하고 나아가야할 방법을 제시하시오"
"685","3분 자기소개"
"686","평소에 말할 때 남의 의견을 이렇게 가로채나요?"
"687","입사하게 되면 어떤 업무를 하는지 알고있나요?"
"688","왜 kb캐피탈에 지원하였나요?"
"689","코로나 사태에 대해서 어떻게 생각하나요?"
"690","다른 곳에서 근무하다가 신입으로 은행에 지원하는 이유는?"
"691","상사와 갈등을 겪게 된다면 본인은 어떻게 대처하겠는가?"
"692","스마트금융에 대한 장점을 얘기해보시오."
"693","아날로그와 디지털 문화의 차이와 그에 대한 예시를 들어보시오."
"694","안드로이드 말고 다른 언어로 프로젝트 해본 경험이 있다면?"
"695","야근이나 특근을 자발적으로 할 수 있겠는가?"
"696","하나은행 어플리케이션 중에 보완해야할 점이 있다면?"
"697","직장 내에서 필요한 가장 중요한 요소는 무엇이라고 생각하는가?"
"698","객체지향에 대해 설명해보세요"
"699","구글효과란?"
"700","네트워크 허브 라우터 등에 대해 말해보시오"
"701","데이터베이스의 REDO, UNDO에 대해 말해보세요"
"702","자기소개 1분씩 해보세요."
"703","회사에서 오래 일하다보면 조금은 부정한 방법을 써서라도 이익을 추구해야하는 경우가 있는데 그럴때는 어떻게 할것인지?"
"704","주52시간제에 대해 어떻게 생각하는지? 시간이 초과되어서 일을 추가적으로 시켜도 할 것인지?"
"705","지원자분들 다들 스마트폰 가지고 계시죠? 스마트폰에 저장된 사람들의 수가 어떻게 되십니까?"
"706","4명과 여행을 갔는데 2명은 쉬운길 나머지 2명은 어려운길을 제시해 갈등이 생겼을 때 본인의 선택은?"
"707","가장 기억에 남는 프로젝트는 무엇인가요?"
"708","노조에 대해서 어떻게 생각하시나요?"
"709","본인이 가장 자신있는 개발 언어는 무엇인가요?"
"710","본인이 가지고 있는 기술을 통해 한전KDN에서 근무하고싶은 분야를 말해보세요"
"711","본인이 자주쓰는 앱은 무엇인가요?"
"712","우리 회사에 입사해서 일하고 싶은 부서는 어디인가요?"
"713","최신 it트렌드에 대해 아는 것을 말해보세요"
"714","협력업체 관리를 어떻게 할 건가요?"
"715","본인은 무슨 부서에서 어떤일을 하고 싶나요?"
"716","우리 회사로 출퇴근을 한다면 강남에서 나주까지 무엇을 타고 올 것인가요?"
"717","한전과 KDN의 차이점을 말해보세요."
"718","한전에서 인턴을 했을 때 KDN의 이미지는 어떠했나요?"
"719","회사의 상사가 업무를 지시했는데, 주말에도 일을 해야 한다면 어떻게 할 건가요?"
"720","KDN은 어떤 회사인지 아는 대로 설명해보세요."
"721","공백기에 대한 설명을 해보세요."
"722","대한항공이 아시아나 항공과 다른점은?"
"723","전기 직무에서 가장 중요하다고 생각하는 것이 무엇인가요?"
"724","공백기때 무엇을 했나요?"
"725","대한항공 MRO에 대해 어떻게 생각하나요?"
"726","본인만의 강점은?"
"727","문이과 통합에 대한 찬반 토로을 해보시오."
"728","살면서 힘들었던 경험이나 어려웠던 경험은 무엇이었고, 그걸 통해 뭘 배웠는지 말해보시오."
"729","자신의 단점은 무엇이라고 생각하시나요"
"730","JAVA 와 .NET의 차이점은?"
"731","가장 좋아하는 언어가 무엇이냐?"
"732","개발자 입장에서 게임개발에 대해 어떻게 생각하는가?"
"733","지금까지 했던 프로젝트에 대해 말해보시오."
"734","프로그래밍 경력은 어느 정도인가?"
"735","NC소프트의 게임을 해본 적이 있는가?"
"736","포트폴리오에 나온 개발한 것을 설명해보시오."
"737","포트폴리오에 나온 이론을 설명해보아라."
"738","고층건물에서 화재가 발생했을때 어떻게 탈출할 것인가?"
"739","어떤 아이템을 쓰는가?"
"740","즐겨하는 게임에서 레벨은 몇인가?"
"741","즐겨하는 게임은 무엇인가?"
"742","트라우마가 있는가?"
"743","한국야쿠르트 홈페이지를 이용하면서 불편했던 점은?"
"744","한국야쿠르트 아는 브랜드는?"
"745","궁금한 점은?"
"746","빅데이터를 이용해 AI를 학습 후 챗봇에 이용한다고 하였는데, 어떠한 방식으로 데이터를 수집하나요?"
"747","인공지능에 대해 관련 연구나 프로젝트를 한 경험이 있나요?"
"748","Open API를 사용한 경험이 있나요?"
"749","화상 업무 서비스를 일반 영업점의 행원이 실시한다면 업무량이 늘어나는데, 이에 대한 보상방안은 어떠한 것이 있나요?"
"750","당신이 프로젝트 매니저라고 가정하고, 단 한 명의 직원(DB 설계자, 프로그래머 중 한명)뿐이 고용을 할 수 없을 때 누구를 고용할 것인가?"
"751","입사 후 어떤 IT 서비스를 제공할 것인가?"
"752","자기소개 해주세요"
"753","하나금융티아이에서 원하는 인재는 무엇이라고 생각하는가?"
"754","지원자가 pm이라고 가정하고, 프로젝트에 참여하지 않는 직원이 있을 때 어떻게 해결할 것인지?"
"755","자신이 가장 자신 있어하는 프로젝트는?"
"756","지원자분은 특허에 관련된 공모전 수상경력이 있는데 설명해주시겠어요?"
"757","하나아이앤에스에 대해서 어떻게 생각하나?"
"758","가비지 컬렉션에 대해 말해보세요."
"759","업데이트 문을 말해보세요."
"760","잊혀질 권리에 대한 찬반"
"761","조인 문을 말해보세요."
"762","프로젝트에서 안드로이드 부분을 어떻게 구현하였나요?"
"763","핀테크에 대해 설명해보세요."
"764","하나아이앤에스에 들어오고 싶은 지원동기는 무엇인가요?"
"765","휴대폰 등 디바이스에 터치가 입력됐을 경우, 어떻게 동작하는지 설명해보세요."
"766","DB 인서트 문을 말해보세요."
"767","POST/GET 방식에 대해 설명해보세요."
"768","입사 후 어떤 부서에서 일하고 싶은가?"
"769","공동체와 구조체를 설명하시오"
"770","C에서 힙과 스택을 설명하시오"
"771","티머니 서비스 중 어떤 서비스가 가장 좋았는지 말해보세요. 그리고 그 서비스의 장단점을 말해주세요."
"772","가장 기억에 남는 프로젝트에 대해 설명해보세요."
"773","각자 입사를 하게 되면 어느 부서에서 일하고 싶은가요?"
"774","개발 가능한 환경 및 다룰 수 있는 툴은 무엇인가요?"
"775","입사하게 된다면, 어떤 직무를 할 것이라 생각하나요?"
"776","만들고 싶은 게임과 만들어야 하는 게임 중 무엇을 선택해야 한다고 생각하나요?"
"777","게임빌의 향후 발전 방향에 대해 본인이 생각하는 방안과 그 방안의 당위성을 설명해주십시오."
"778","금융 it를 지원한 동기가 무엇인가요?"
"779","자신을 색에 비유한다면 어떤색인가? 그 이유는 무엇인가요?"
"780","만약 퇴사를 결정하였다면 그 이유는 무엇인가요?"
"781","블로그 운영은 얼마나 하였나요?"
"782","리눅스 사용 경험이 있나요?"
"783","수상경력이 많은데, 왜 많이 참여하였나요?"
"784","이베이에 지원한 동기를 말해보세요"
"785","협업을 해본 경험이 있습니까"
"786","어떠한 강점을 가지고 있고, 이베이에 입사 후 어떻게 기여할 것입니까"
"787","(PT내용 발표 후) 실제로 음성인식과 관련된 프로젝트를 개발해 본 적이 있는가?"
"788","가장 자신있는 언어는 무엇인가?"
"789","고객에게 더 안전한 서비스를 제공하기 위한 보안서비스는 어떤 것이 있는지 제안하시오."
"790","그동안 했던 프로젝트 중에 제일 잘했다고 생각되는 프로젝트를 설명해보시오."
"791","이베이코리아의 보안 위협은 어떤 것이 있는지, 그리고 이를 해결하기 위한 방안을 제안하시오."
"792","자기소개를 하시오."
"793","지원하게 된 계기는 무엇인가?"
"794","직무 관련해서 어떤 프로젝트를 해봤는가?"
"795","프로젝트 경험에 대해 자세히 설명해보시오."
"796","현재 간편결제 시장현황에 대해 분석하고 본인이 생각하는 아이디어 모델을 제안하시오."
"797","네트워크 실무 관련 경험이 있다면 말해보시오."
"798","다른 사람이 아닌 내가 꼭 이 회사에 와야 하는 이유를 말해보시오."
"799","이 회사가 아니면 안 되는 이유를 말해보시오."
"800","왜 당신을 뽑아야 하는가?"
"801","채용 부서가 무슨 일을 하는지 아는가?"
"802","엑셀 엑세스 사용자가 필요한데 다룰 수 있겠는가?"
"803","자기소개해보시오."
"804","지원동기는 무엇인가?"
"805","코트라가 무슨 일을 하는지 아는가?"
"806","가장 열정적으로 임한 경험은?"
"807","봉사활동을 하며 느낀점은?"
"808","인턴을 한 이유는?"
"809","이직에 대해 어떻게 생각하나요?"
"810","존경하는 인물은?"
"811","스스로 목표를 세워 달성한 경험이 있나요?"
"812","아는 선배의 부정행위를 목격한다면?"
"813","프로젝트 중 의견이 충돌했던 적이 있나요?"
"814","10년후 보안기술의 동향 및 자신의 모습은 어떻게 예상하십니까?"
"815","10년후 보안기술의 동향 및 자신의 모습은 어떻게 예상하십니까?"
"816","전산 관련 프로젝트나 일한 경험이 있는가?"
"817","남자친구가 있는가? 야근을 많이 하는데 괜찮은가?"
"818","성적이 왜 이 정도지?"
"819","외국에 다녀왔는데 영어점수가 왜 이렇게 낮지?"
"820","취업 원서는 몇 개 썼는가? 요새 취업이 어렵다는데 얼마나 어려운가?"
"821","프로젝트 관련 맡은 부분"
"822","사업부가 어떤 것을 하는지 알고 있는가?"
"823","경쟁사는 어떤 회사가 있는지?"
"824","HVAC가 무엇인지 아는가?"
"825","DNS에 대하여 설명해보라."
"826","RAID를 알고있는가? 0과 1 그리고 1+0은 뭘까?"
"827","골든벨 몇번에서 탈락?"
"828","대학 시절 가장 힘들었던 점은 무엇이었나요?"
"829","학업 이외에 힘들었던 점은 무엇이었나요?"
"830","여기 외에 다른 곳에도 지원을 했나요?"
"831","(어떠한 경험에서) 본인은 왜 그렇게 행동했는가?"
"832","롯데닷컴 IT 직무에 왜 지원했나?"
"833","지원동기는 무엇인가?"
"834","프로젝트는 어떤 걸 경험했는가?"
"835","SK텔레콤의 무선 통신 주파수 대역에 대해서 이야기 해보시오."
"836","WCDMA란 무엇인가?"
"837","교대 근무를 해야하는데 할 수 있겠는가?"
"838","네트웍오앤에스가 앞으로 미래에 어떻게 했으면 좋을지 이야기해보아라."
"839","네트웍오앤에스의 비전 2020에 대해 알고 있는가?"
"840","네트웍오앤에스의 인재상에 대해 알고 있는가?"
"841","네트원오앤에스가 어떤 회사인지 알고 있는가?"
"842","상사와 의견이 맞지 않으면 어떻게 할 것인가?"
"843","스트레스 극복 방법은 무엇인가?"
"844","이동통신의 발달 과정에 대해 알고 있는가?"
"845","입사 후 포부와 목표, 계획을 말해보시오."
"846","제일 하위계층에서 어떤 프로토콜을 쓰는가?"
"847","제주도를 가야 하는데, 배와 비행기가 없다면 당신은 어떻게 갈 것인가?"
"848","지원동기에 대해 말해보시오."
"849","지원한 직무에서 어떤 일을 하는지 아는가?"
"850","PCM에 대해 말해보시오."
"851","공대생이 상사에 지원한 이유는 무엇인가?"
"852","방금 했던 답변을 영어로 해 보아라."
"853","1분 자기소개해보시오."
"854","실패한 경험이 있는가?"
"855","고려제약 홈페이지 도메인 주소는 무엇인가?"
"856","디도스란 무엇인가?"
"857","본인이 가진 장점은 무엇인가?"
"858","본인이 업무 하는데 있어 다른 사람보다 더 적합하다고 생각하는 이유는?"
"859","업무와 본인의 적성이 맞는 것 같은가?"
"860","여가시간에는 무엇을 하며 보내는가?"
"861","지원한 동기는?"
"862","최근에 이슈가 되고 있는 반크에 대해서 설명해보세요"
"863","Json과 xml을 엄마 아빠에게 설명해봐라"
"864","(코드 리뷰 할 때) 왜 메소드 구조를 그렇게 작성했나요?"
"865","ABCD의 알파벳 문자열을 압축하는 알고리즘이 뭐가 있을까요?"
"866","커뮤니케이션 문제를 겪은 적이 있는가?"
"867","프로젝트 진행 당시 중점을 뒀던 부분은 무엇인가?"
"868","PT과제의 내용에 대한 본인의 생각을 그렇게 작성한 이유는 무엇인가?"
"869","신기술 IT를 한국공항공사에 도입해서 할 수 있을 만한 것을 제시해보세요"
"870","한국공항공사를 젊은 층에게 홍보할 방법은 무엇이 있을까요?"
"871","한국공항공사에서 전산시스템의 역할은 무엇이라고 생각하며 본인의 역량을 통해 전산 시스템에 어떤 기여를 할 수 있나요?"
