"","면접질문"
"627","어머니께서 BMW차량을 소유하고 계시다고 했는데 차종을 이야기해보세요."
"628","기어 옆에 동그란게 있죠?"
"629","그것의 이름은 어떻게 되나요?"
"630","1,3,5,7 그리고 2,4,6,8 등 이름이 많은데 그것의 분류는 어떻게 되는지 알고 계시나요?"
"631","우리회사에 대하여"
"632","나에 대하여"
"633","나의 힘든시기"
"634","앞으로 트렌드 설명"
"635","본인이 말한 트렌드 영어로 외국인에게 설명해보아라"
"636","책과 영화 중 선호하는것은? 이유"
"637","회사 선택 기준은?"
"638","가장 힘들었던 것은?"
"639","회사 입사 후 비전은?"
"640","이전에 어디서 일했나요"
"641","어디사나요? 버스로 얼마나 걸려요?"
"642","얼마 받고 싶나요"
"643","지원이유"
"644","최신화 사업이 무었인지 아느냐"
"645","관련 전문 단어에 대한 질문"
"646","경력사항"
"647","성격의 단점"
"648","회사를 선택한 이유"
"649","경력사항에 대한 질문"
"650","지원동기 및 미래 포부"
"651","사회경험에 대해서 .."
"652","지원동기 및 전반적인 학교생활(학과의 특성, 전공 수업 등)"
"653","경험 관련(실패한 경험 등)"
"654","상황에 따른 토론 / 직무 관련 내용 질문"
"655","울산으로 오게된 이유?"
"656","어떠한 업무를 해야하는데 할수있을지?"
"657","우리회사에 지원하게 된 동기"
"658","공장의 외관에 대해 느낀점을 말해보세요."
"659","우리 회사의 사업 품목에 대해 알고있습니까? 알고있다면 말해보세요"
"660","생산직 직원들과 많이 부딪힐예정인데 어떻게 하시겠습니까?"
"661","kg의 뜻"
"662","우리 회사에 도움이 될 수 있는 일"
"663","마지막으로 하고 싶은 말"
"664","한국서부발전의 어떤점이 좋아 지원했는가?"
"665","직무에 관한 자기역량 어필"
"666","업무를 해본 경험과 어떤 노력을 했는지"
"667","Why did you apply to this job?"
"668","왜 우리회사를 선탹하였는가?"
"669","지원한 업무가 무슨일인지 설명하시오."
"670","1분 자기소개"
"671","본인이 한 창의적인 행동"
"672","합격한다면 어떤 부서에 가고 싶은지"
"673","공공기관이 갖춰야 할 덕목?"
"674","일경험"
"675","단기근무가능"
"676","누구나 할수 있다."
"677","집과 거리가 먼데 다니는데 문제가 있지 않을까요?"
"678","이전 회사를 그만 둔 이유가 무엇인가요?"
"679","조용해 보이는데 사람을 많이 상대하는 부서인데 괜찮겠어요?"
"680","편집 경험은 있는지"
"681","요즘 유행하는 밈 아는 게 있는지"
"682","얼마 정도 일을 할 수 있는지"
"683","평소 공연을 얼마나 보시는지?"
"684","집콘을 기획하신다면 어떻게 하실건지?"
"685","코로나가 장기화 된다면 어떻게 하실건지?"
"686","회계 관련 경험이 있는지?"
"687","공연기획을 해본다면 어떤 소재로 하고 싶은지?"
"688","포스트 코로나에 공연 부문이 나아가야 할 방향성"
"689","종전근무지 업무는 ? 퇴사사유"
"690","화사에 지원동기와 기업에 대한 이해도 (알바경험얘기함)"
"691","강의 경험 (횟수및 교육인원) 운전가능여부"
"692","전에일하던곳에서는 어떠한일을하엿는가"
"693","자신이 겪어본 경험"
"694","자신에대한 예기를 많이꺼낼수있게 유도질문"
"695","경력사항 전직장에서 했었던 일"
"696","최근에 업계관련이슈"
"697","보유역량"
"698","지원동기"
"699","협력업체 다닌 곳과 어떤 업무를 했는지"
"700","회사를 선택한 이유"
"701","생산관리에서 제일 중요한점은?"
"702","재직했었던 회사의 식품군과 다뤘던 제품수?"
"703","재직했었던 회사의 노무비율과 원부재료비율?"
"704","생산관리에서 주업무? 출근하자마자 하는일 나열해보시오"
"705","왜 자격증이 없냐"
"706","현대그린푸드에 대한 대외적 이미지"
"707","회사 지원동기"
"708","가장 힘들었던 경험은?"
"709","1분 자기소개"
"710","코웨이 지원동기"
"711","디지털 트랜스포메이션에서 업무에 적용하면 좋을만한 기술은?"
"712","적용하면 어떤식으로 적용할지?"
"713","해당 기술에 어떠한 지식을 갖고 있는지"
"714","경력 사항에 대한 질문?"
"715","업무에 대해 궁금한게 있는지?"
"716","우리 회사가 면접자를 택해야 하는 이유?"
"717","대기 중 보여드렸던 영상 중 감격 깊은 장면은?"
"718","우리 회사의 강점은?"
"719","회사를 선택한 이유"
"720","자기소개"
"721","이력서 보시고 전에 일 할 때 어떤 일을 하였는지"
"722","꽃 관련 질문( 계절별 꽃 1개씩 말하기등등)"
"723","경력사항에 관한질문"
"724","서비스의 대한 자신만의 신념이 있나"
"725","정직원이 되기위한 노력"
"726","어떻게 지원하게 되었는지?"
"727","전 직장에서는 어떤 직무를 수행하였는지?"
"728","입사하게 된다면 직무를 잘 수행할거라 생각하는지?"
"729","한글로 자기소개"
"730","호텔에 대해서 사전조사 했는지"
"731","햇빛알러지 있는지"
"732","제일 힘들게 일한게 어떤 상황이었는지"
"733","호텔 경력이 긴데 어떻게 버텼는지"
"734","그렇다면 그 호텔에서 뭘 배웠는지"
"735","자기소개 및 장단점"
"736","경력관련"
"737","원하는 부서"
"738","과가 프랑스어과인데 왜 서비스를 하려고 하는지"
"739","서비스직 경험이 있는지"
"740","기본적인 경험 질문"
"741","냉동사이클의 구성을 설명하시오"
"742","강제순환 공조기와 외기도입식 공조순환방식의 차이를 설명하시오"
"743","현장 안전관리에 있어 중요하다고 생각하는 점을 얘기해보시오"
"744","자기소개"
"745","기억에 남는 착한손님, 나쁜손님"
"746","취미"
"747","성격이 급한편? 차분한편?"
"748","지금 딱 생각나는 친구가 있나"
"749","마지막할말"
"750","회사와 이 업무에 대해 알아보셨나요?"
"751","문화적 차이에 대해 괜찮으실지...?"
"752","전에 일했던 회사가 어땠나요?"
"753","자기소개"
"754","지원동기"
"755","영어자기소개"
"756","경력에대한 질문"
"757","이직하려는 이유"
"758","자기소개 지원동기"
"759","경력사항에 대한 질문"
"760","어도비 프로그램 사용 유무"
"761","회사와 자택 거리"
"762","여기오기전에 어떤일을 했습니까"
"763","어떤 역량을 발휘 할 수 있습니까"
"764","회사를 선택한 이유"
"765","전 직장에서 했던 업무는?"
"766","어떤 업무를 두고 이런 업무도 했었나요?"
"767","이런이런 업무를 할껀데 괜찮나요?"
"768","우리회사를 어떻게 알고있는지?"
"769","하게 될 직무에 어떤 준비를 하였는지?"
"770","이직사유"
"771","직무 관련 질문"
"772","회사에서 사용하는 시스템 관련 질문"
"773","회사에 궁금한점"
"774","전에 회사에서 어떤일을 하였는가?"
"775","어떤 이유로 이직 하게 되었는가?"
"776","할수있는 프로그램과 어느정도의 사용가능한가?"
"777","자동차 일 경험"
"778","안전사고"
"779","업무숙지"
"780","간단한 자기소개"
"781","출퇴근 어떻게 할 것인지"
"782","이전직장은 왜 그만두었는지"
"783","첫직장과 두번째 직장의 업종이 다른데 왜 그런지"
"784","다른회사에는 면접이 잡혀있는지"
"785","1분 자기소개"
"786","마지막으로 할말"
"787","자기소개서기반의 경력사항 질문"
"788","전 회사를 그만 둔 이유"
"789","향후 회사의 신사업 제안 (토론 면접)"
"790","학교 등에서 동호회 등 그룹활동 경험"
"791","자기소개"
"792","지원동기"
"793","왜 당신을 뽑아야 하는가"
"794","지원동기"
"795","마지막할말"
"796","피티"
"797","경력사항과 본인의 강점은?"
"798","미래에 동원산업이 지향 되어야 할 점은?"
"799","동원인이 된다면 각오와 목표"
"800","이전 회사에서 맡은 업무에 대한 상세질문"
"801","자회사 재무상태표 본적있는지?"
"802","이전 회사를 그만둔 이유"
"803","갑.을 관계에 대한 기성세대와 현세대의 관점 차이는 무엇이라 생각하는가?"
"804","학창 시절 맡았던 팀 프로젝트 설명과 프로그램 사용한거 어느 여부까지 사용 가능한지 설명해보아라"
"805","회사 직무 선택 이유는?"
"806","긴장될 때 어떻게 푸는지?"
"807","나의 성격은?"
"808","회사의 부당한 업무에 대해 어떻게 생각하는지?"
"809","자기소개"
"810","경력을 토대로 질문"
"811","자신의 성격이 어떠한지?"
"812","회사 선택한 이유"
"813","퇴사 후 이직 이유"
"814","자신을 한단어로 표현한다면?"
"815","경력사항에 대한 간단한 설명"
"816","간단한 회사정보"
"817","성격 장단점"
"818","경력이 없는데 괜찮겠는가"
"819","지방근무 괜찮겠는가"
"820","전기도면 볼 수 있는가 등"
"821","이직사유 중 가장 와 닿을수 있는 이유가 있나요?"
"822","지원자가 생각하는 현대로템의 미래는?"
"823","가장 기본적인 저희회사에 매출액은?"
"824","방산, 철도 둘중 왜 (두곳중 한곳)이곳을 선택했나?"
"825","연봉이 적어젔는데 그에 대해선 어떻게생각하시는지?"
"826","왜 1-2년 갭이 있나요? 이 때 뭘 하셨나요?"
"827","대학원 전공을 선택한 이유는?"
"828","업종이 다양하게 바뀐 이유는?"
"829","경력사항"
"830","장단점"
"831","계약 도중 다른곳에 입사가 되면 어떻게 할것이냐"
"832","PR이란 무엇이라고 생각하나"
"833","왜 PR에 관심을 가지게 되었나"
"834","기억에 남는 특정 기업 및 제품의 PR이나 마케팅"
"835","경력사항에대한 질문"
"836","해당직무에대해 잘 알고 있는지"
"837","상황대처능력 질문"
"838","에어컨 설치가 아니더라도 관련 설치 작업을 한적이 있는가?"
"839","어디서 공고를 보았는가?"
"840","앞으로 이 일을 하는 비전을 알고 있는가?"
"841","이전 경력 관련된 질문 굉장히 많이함"
"842","퇴사한 이유는? 여기에 합격해서 다니게 될 동안 똑같은 어려움을 만난다면?"
"843","스트레스는 어떻게 푸나요?"
"844","해당 직무 외에 타부서로 이동하게 된다면 어떻게 하겠는지"
"845","신입사원한테 어떤게 가장 중요하다고 생각하는지"
"846","거래처 관리에 있어서 인간적으로vs원칙대로 어느쪽이 중요하다고 생각?"
"847","연봉은 어느정도?"
"848","간단한 영어/일본어 질문"
"849","본인이 해당 직무에 어울리는 이유는?"
"850","요즘 읽고 있는 책은?"
"851","경력"
"852","다이소 메리트"
"853","왜 다이소인가?"
"854","전직장은 왜그만뒀죠?"
"855","지원한 이유는??"
"856","본인은 어떤성격을 가지고 있나요?"
"857","이 직무를 수행할 때 본인이 내세울 수 있는 강점"
"858","지원한 직무를 스포츠로 비유한다면?"
"859","일을 할 때 가장 중요하다고 생각하는 것은?"
"860","지금 지원한 직무 이외에 다른 직무로 이동권유를 받는다면 갈 의향이 있는가."
"861","이 직무는 무슨 일을 하는 곳이라고 생각하는가"
"862","직무의 강점 및 약점"
"863","직무의 전문성과 이해도"
"864","상황별 대처능력"
"865","1분자기소개"
"866","아성hmp회사에 대해 아는것 말해보세요"
"867","다이소에서 가장 기억에 남는 상품과 이유"
"868","남자친구 있는지"
"869","담배 피는지"
"870","핸드폰 잘 안 만지는지"
"871","자기소개"
"872","회사와 집과의 거리"
"873","직무 특성 극복방안"
"874","회사의 지원동기와 자기소개를 간단히 해주세요"
"875","왜 이 직무를 선택했는지?"
"876","전공이 직무랑 일치하지 않는데 어떻게 생각하나요?"
"877","어떤음식 좋아하는가"
"878","왜 그런 주제를 선택하게 되었는가"
"879","좀 더 학문적으로 연구할 생각은 없는가"
"880","학교생활동안 어떤 사람인지"
"881","옆 사람보다 자격증 없는 이유"
"882","직무 중 자신있는거는"
"883","생기부랑 이력서 보고 질문"
"884","호화 노화"
"885","라면공정"
"886","대학성적"
"887","자기소개서 관련 질문"
"888","소맥분 글루텐 함량에 대한"
"889","동결건조란?"
"890","HACCP의 사전조치는?"
"891","만약에 공장에 비둘기가 침입한다면 어떻게 조치할 것인가?"
"892","지원동기"
"893","회사/반도체 이해도"
"894","업무와 연관된 자신의 강점"
"895","무언가로 자신을 표현 (예시:들꽃,나무 등등-이건 본인이 말해야함)"
"896","본인의 인생관 (인화,창조 등 말하면 됨)"
"897","본받고 싶은 사람"
"898","회사에 다니다가 다른 회사가 들어온다면 지원하겠는가?"
"899","어려운 과목은 무엇인가?"
"900","코로나 전과 후의 취미가 무엇이었는가?"
"901","현재까지 내가 했던 업무에 대해서 PPT로 준비하게 하고 면접당일에 영어로 발표하게 함."
"902","품질엔지니어 지원을 하였기 때문에 , 품질관리 용어에 정의를 물어봄, 예를들면 FMEA, Control plan and etc"
"903","근무지에 대한 문제가 없는지에 물어봄."
"904","영어 자기소개"
"905","패키징에 대해서 아는점 설명"
"906","전공과 회사를 연결해서 설명"
"907","1분 자기소개"
"908","성격의 장단점"
"909","없음"
"910","우리회사에 대해 알고있는가?"
"911","자신의 강점과 약점"
"912","직무에 지원한 동기"
"913","1분 자기소개(한글 or 영어)"
"914","본인 출신 학교를 영어로 소개해보라"
"915","입사 후 자신의 목표와 포부를 말해보아라"
"916","자기소개"
"917","남들이 생각하는"
"918","서비스에서 중요하다고 생각하는 것"
"919","서비스란 무엇인가?"
"920","회사를 지원하게된 이유는?"
"921","본인의 장점은?"
"922","맨처음 자기소개 (과거 경력 위주로)"
"923","진상고객이 있을수도 있는데 잘 응대할수 있나?"
"924","회계지식은 어느정도 있나? 과거 회계업무 경력이 없는데 할수 있겠나?"
"925","경력이 없어 신입사원 월급으로 책정될듯한데 수용이 가능한가?"
"926","개인의 성격과 업무가 잘 맞을것이라 생각하나?"
"927","인내심이 있는 편인가?"
"928","맨 마지막으로 입사후 포부에 대해 간략히 말하라."
"929","맛집 추천과 이유"
"930","회사에서 무엇을 하고 싶은지? (직무관련)"
"931","자소서 관련 질문"
"932","1. 간단한 자기소개."
"933","2. 이전직장 퇴사 사유"
"934","3. 회사의 사업 아이템에 대해 알고 있는지"
"935","4. C-REO(설계툴) 사용 경험이 있는지 그리고 얼마나 다룰지 아는지"
"936","5. 직장과 자택의 거리가 얼마나 되는지. 출근 시 방법"
"937","자기소개"
"938","운전면허증 여부"
"939","관련 업종 경험"
"940","개인 소개"
"941","개인 경력"
"942","회사 선택한 이유"
"943","리더십이란 무엇인가?"
"944","칭찬받은것 중에 기억에 남는것"
"945","자기소개 1분"
"946","추위에 강한지"
"947","52시간 근무 찰저"
"948","관리 및 사회경력 을 안정해주어서"
"949","경력에 대한 질문"
"950","경력직이니 업무에 대한 이해도"
"951","회사를 택한 이유"
"952","이전에 어떤 일을 했는지?"
"953","경력단절된 사유는?"
"954","주야근무가 가능한지?"
"955","자신의 장단점?"
"956","자신은 어떤 사람인가?"
"957","자기소개"
"958","거주지가 어딘가요?"
"959","우리 회사는 어떤 일을 하는 회사인지 아시나요?"
"960","자신의 성격은?"
"961","경력 사항에 대한 질문"
"962","우리 회사의 강점은"
"963","회사를 선택한 이유"
"964","왜 현장직에 들어왔는가"
"965","화학약품을 많이써서 냄새나는데 괜찮은가"
"966","집이먼데 어떻게 다닐건가"
"967","이전 회사에서 어떤 분야의 일을 맡았고, 경력은 몇년 인정받고 싶으신가요?"
"968","회사의 비전과 가치가 무엇인가요?:"
"969","많은 회사 중 이 회사를 고른 이유가 무엇인가요?"
"970","회사의 장점3가지"
"971","지원동기"
"972","경쟁 회사"
"973","평판재하시험이 뭔가요?"
"974","측량의 종류를 말해보시오."
"975","회사에 지원하게 된 동기"
"976","이력서를 보고 경력사항에 대한 세세한 질문?"
"977","게임 좋아합니까?"
"978","회사를 선택한 이유?"
"979","자기소개"
"980","지원동기 및 직무관련질문 3~4가지"
"981","지원 분야, 마지막 하고싶은 말"
"982","주요 경력사항과 주요 업적"
"983","지원동기와 합격되어야 하는 이유"
"984","전 회사와 비교하여 어떨 것 같나?(기업문화나 복지 등)"
"985","계절 메뉴 작성하기"
"986","전 직장 퇴사 사유"
"987","지원 동기 및 포부"
"988","평판재하시험이 뭔가요?"
"989","측량의 종류를 말해보시오."
"990","회사에 지원하게 된 동기"
"991","자기소개 위주의 질문을 다수"
"992","최종적인 목표"
"993","업무적인 스트레스 푸는 방법"
"994","왜 이 회사를 선택했는지"
"995","의견을 안받아들이는 사람에게 의견을 어떻게 전달할 것인가"
"996","진행했던 일에 대한 소개"
"997","발견했던 이슈 중 특이이슈"
"998","1분 자기소개"
"999","아떻게 스트레스를 푸는지"
"1000","좋아하는 게임을 친구에게 소개한다면"
"1001","최근에 화제가 되고 있는 게임 해보았는지"
"1002","자격증"
"1003","직무에 대한 이해도"
"1004","출퇴근"
"1005","회사 및 사업에 대한 전반적인 이해도"
"1006","사업에 대한 예상 수익 및 예상 업무 진행 예시"
"1007","경력에 대한 장단점"
"1008","당신의 특기는 무엇인가"
"1009","왜이회사를 지원했는지"
"1010","경력직임에도 왜 신입을 지원 했는가"
"1011","제일 잘 웃고 자신감이 넘쳐 보인다. 그만큼 이 회사에 오고 싶은 것 같은데 왜 여긴가? =지원동기)"
"1012","영양사가 되고싶은 이유"
"1013","가장 기억에 남는 교수"
"1014","(영어) 식스시그마를 설명하고 무슨프로젝트를 했나"
"1015","~~를~~로 속이고 팔아보아라"
"1016","엔지니어에게 가장 필요한 강점은?"
"1017","강성고객일때 처리방법?"
"1018","스트래스 해소법?"
"1019","이전회사 퇴사사유?"
"1020","자기소개"
"1021","사회경험"
"1022","지원이유"
"1023","경력사항에 대한 질문"
"1024","일을 할 수 있는 기간"
"1025","근태가 잘 이루어질 수 있는지"
"1026","본인 장단점"
"1027","(자격증많이보유함) 상중하 중에서 본인 실력은?"
"1028","다른 회사에도 지원한거 아니냐"
"1029","자기소개"
"1030","전공 관련"
"1031","저소서 관련"
"1032","경력사항에 관련된 질문"
"1033","성격의 장단점"
"1034","집까지와의 거리"
"1035","자기소개+지원동기"
"1036","주업무가 무엇인지 알고 있는지 - 현대백화점 신용카드 관련 업무가 주를 이룸(발급, 결제, 문의 등)"
"1037","여러 사람과 잘 지낸 경험 또는 사례+통근 거리+다른 지점도 일할 의지가 있는지"
"1038","궁금한 점이나 질문"
"1039","지원동기"
"1040","취미"
"1041","단점"
"1042","이전 직장에서 맡은 업무"
"1043","이전직장 직급, 연봉"
"1044","외국어 실력"
"1045","현대백화점 영업관리직무를 맡는다면 어떤 카테고리를 담당하고 싶나(영패션,남성,여성패션,식품등)"
"1046","최근에 다녀온 맛집을 추천해달라"
"1047","마지막으로 하고싶은 말?"
"1048","과거 경력이 롯데칠성음료에서 적용될 수 있는지?"
"1049","지원동기"
"1050","앞으로의 미래계획"
"1051","자기소개"
"1052","지원동기"
"1053","입사 후 포부"
"1054","우리화사에 대해 아는 것을 말해보라"
"1055","자신의 능력을 객관적으로 평가한다면"
"1056","자기 계발에 어느정도 투자하는가"
"1057","이 직무를 수행함에 있어 가장 중요하게 생각하는것?"
"1058","지방근무 가능한가요?"
"1059","서연이화를 선택한 이유?"
"1060","본인의 성격이 내향적입니까, 외향적입니까?"
"1061","친구가 많은 편입니까?"
"1062","영업이란 무엇이라고 생각합니까?"
"1063","지인들 중 기술영업에 종사하는 분이 있습니까?"
"1064","취미나 여가 활동으로 무엇을 합니까?"
"1065","비서란무엇인가"
"1066","비서가 되기위해서 필요한 자질 세가지"
"1067","불합리한 지시사항을 받는다면 어떻게할것인가"
"1068","고등학생때부터 지금까지의 일생기"
"1069","졸업한 학과랑 전혀 다른 분야를 지원한 이유는?"
"1070","지원하는 직무에 대해 잘 알고 있는지?"
"1071","경력과 인성 위주 질문"
"1072","삼성 계열사로 안정성"
"1073","삼성 계열사"
"1074","집이 지방인데 수도권 근무 잘할수있겠냐?"
"1075","용접관련 업무를 했다는데 용접의 장점과 단점을 말해보아라"
"1076","전 회사 다닐때 힘들었던 경험"
"1077","자기소개"
"1078","무슨 일 하는지 알고 왔는가?"
"1079","왜 에스원인가?"
"1080","지방근무 가능여부"
"1081","상사가 부당한 지시를 할시?"
"1082","희망하는 직무"
"1083","결산 Flow를 설명하세요."
"1084","한진에 대해 아는것이 있다면 말해주세요."
"1085","이직사유"
"1086","상사가 본인의 공로를 가로챌 경우 대응방법은?"
"1087","야근에 대한 본인의 의사는?"
"1088","본인의 업무 스타일은?"
"1089","아파트 시공경험에 대한 직접 설명"
"1090","회사생활의 포부"
"1091","현 주거지외 타지역의 근무가능 여부"
"1092","우리 회사에 왜 지원했습니까?"
"1093","자신의 단점이 뭐라고 생각하십니까?"
"1094","남성 비중이 커 다소 거친 분위기에 적응할 수 있겠습니까?"
"1095","계룡건설이 하는 사업 알고있냐?"
"1096","왜 계룡건설에 지원했는가?"
"1097","장교로 군을 나왔는데 왜 그랬는가?"
"1098","우리회사 말고 다른회사 지원했는가?"
"1099","어디를 가겠냐하면 우리를 온다하겠지? 왜 그런가?"
"1100","상사가 말도 안되는 부당한 지시를 내린다면?"
"1101","개발직무는 현장으로도 많이 발령날 수 있다. 근무가 가능하겠는가? 그 이유는?"
"1102","학교생활 외의 동아리나 대외활동 경험있나?"
"1103","개발부서는 힘들고 야근이 많을 수 있다. 괜찮은가?"
"1104","우리 회사는 이직율이 높다. 만약 다른회사에서 이직제의가 오면 어떻게 할 것인가? 이직시 가장 고려하는 사항은 무엇인가?"
"1105","자기소개서에 대한 심층 질문"
"1106","주량"
"1107","직무관련 사회이슈"
"1108","어떤 직무를 하고싶은지"
"1109","다룰수 있는 프로그램이 뭐가 있는지"
"1110","4차산업에서 제조업 관련해 어떤분야가 중요하다고 생각하는가"
"1111","노력해서 무언가를 성취한 경험"
"1112","회사내에서 불법적인 일을 목격했을때 대처"
"1113","마지막으로 하고싶은 말"
"1114","지원동기"
"1115","매출목표"
"1116","영업 경험"
"1117","내가 무슨 일을 했는지"
"1118","꿈이 무엇인지"
"1119","내가 노력한 일은?"
"1120","3년후, 5년후의 모습"
"1121","본인의 강점"
"1122","지원한 부서에대한 이해설명"
"1123","리하우스 TR이 어떤 직무인지 아는가?"
"1124","본인이 꼼꼼하고 세심하다고 생각하는가?"
"1125","학교와 회사의 차이에 대해 설명해봐라"
"1126","생산관리가 무엇이라고 생각하는가?"
"1127","지원동기"
"1128","이전에 다른 곳 면접본 적이 있는가?"
"1129","운전 가능한가?"
"1130","거리가 있는데 자취할 것인가?"
"1131","사는 곳에 관련된 질문"
"1132","자소서에 관한 질문"
"1133","이전 경력에 관련된 질문"
"1134","플래스샵을 방문 해보았는지?"
"1135","우리 회사의 강점은?"
"1136","기업을 보았을때 중요시하는 것은?"
"1137","이전 직장에서 영업을 어떤식으로 해왔으며 본인의 강점이 무엇인가"
"1138","전 직장의 퇴사사유 및 영업 관련 하던 업무"
"1139","경력사항에 대한 질문"
"1140","취미, 특기사항"
"1141","지원한 이유"
"1142","경력사항"
"1143","회사를 선택한 이유"
"1144","지원 동기 _ 한글로 답변 후 해당내용 영어로 답할것을 요구"
"1145","진행해본 아이템들"
"1146","앞으로의 비젼"
"1147","벤더에 대해 잘 알고있는지"
"1148","자기에 대한 어필"
"1149","그동안 해온것중 잘했다고 생각하는것"
"1150","개인정보 처리 방안"
"1151","증권업무에 대해서 얼마나 알고, 주식을 해보았는지"
"1152","현재 진행중인 전형이있는지 있다면 그곳과 비교하여 여기가 얼마나 매력이 있는지"
"1153","실제 증류탑 단수를 결정하는 요인은 무엇인가?"
"1154","근무지역 1지망을 군산으로 선택한 이유?"
"1155","자신을 한 단어로 표현하면?"
"1156","자기소개를 해주세요?"
"1157","어떤사람이 되고 싶나요?"
"1158","질문이 두개 밖에 없었습니다."
"1159","장단점"
"1160","1분 자기소개"
"1161","자신의 꿈"
"1162","1차 2차 : 영양사로서 가장 중요한 자질"
"1163","2차 : 자신이 큰 손해를 보면서 양보를 한 경험"
"1164","2차 : 여사님들이 지원자를 무시한다면 어떻게 행동"
"1165","2차 : 영양사로서 중요한 자질 세가지를 다 지키기 힘들탠데 어떻게 지키겠습니까"
"1166","1차 : 갑자기 식재료 수급에 차질이 생긴다면"
"1167","경쟁사 대비 우리 회사의 강점은?"
"1168","본인의 특기는?"
"1169","차별을 당한 경험은?"
"1170","이 직무를 수행함에 있어 가장 중요하게 생각하는것?"
"1171","지방근무 가능한가요?"
"1172","서연이화를 선택한 이유?"
"1173","직무설명"
"1174","지원한 동기"
"1175","추후의 면접이 가능한가"
"1176","경력사항에 물어봤어요"
"1177","무엇을 만드는 곳인지 아는지 물어보셨어요"
"1178","근무하게 된다는 어떻게 일을 할것인지 물었습니다."
"1179","사용한 Chip 사양이 어떻게 되는가?"
"1180","만일 차종개발할 일정은 얼마 안되는데 개발해야할 차종이 많다면 어떻게 대응하겠는가?"
"1181","이직하려는 이유는 무엇인가?"
"1182","회사에서 주력으로 만드는 제품이 뭔지 아는가?"
"1183","1분 자기소개"
"1184","경력사항에 대한 세세한 질문"
"1185","이직사유"
"1186","지원사유"
"1187","주재원 가능여부"
"1188","원하는 부서"
"1189","왜 이직을 생각하게 되었는가?"
"1190","보이드관련 대응방법은?"
"1191","미투운동이 화두인데 성희롱은 어디부터 라고생각하는가?"
"1192","지원동기"
"1193","회사에 대해 알고 있는점"
"1194","직무 지원동기"
"1195","경력사항은 주로 단기아르바이트를 하였습니다."
"1196","편안한 분위기에서 일할 수 있는점이 좋습니다."
"1197","사회경험을 쌓기 위해 지원하였습니다."
"1198","본인이 연구했던 것을 어떻게 적용시킬 수 있는가?"
"1199","최근 읽은 책에 대해 설명하시오."
"1200","회사에 대해 알고있는 것을 이야기해보시오."
"1201","셀트리온에 대해"
"1202","자신의 장단점"
"1203","자기에 대해 한마디로 표현함"
"1204","가장 좋아했던 과목가 그 이유"
"1205","만약 지원 부서가 아닌 타부서에 발령이 났다면 어떠할지"
"1206","자소서에 적은 내용 그대로를 질문(전공)"
"1207","전 회사 퇴직 및 이직 이유"
"1208","이력서 및 자기소개서 사실 확인"
"1209","회사 근무 및 시스템 적용시 어려운 점 및 극복방법"
"1210","회사에 들어오고 싶은 이유 ?"
"1211","취미 특기 ?"
"1212","무슨회사인지 아는가 ?"
"1213","맡았던 업무에서 실질적인 성과를 낸 경험에 대해 말해보시요"
"1214","우리 회사에서 구체적으로 어떤 역할을 맡고 싶은지 말해보세요"
"1215","우리 회사에 지원하게 된 이유를 말해보세요"
"1216","실무) 1분 자기소개 & 자소서 내용 검증 질문"
"1217","실무) 본인의 전공의 이슈는?"
"1218","임원) 본인의 전공과 관련해서 하고 싶은 업무는?"
"1219","임원) 만약 다른 업무가 주어진다면?"
"1220","임원) 실패한 경험과 그에 대처한 자세"
"1221","임원) MZ세대의 정체성과 기성세대의 갈등 및 MZ세대가 고쳐야 할 점은?"
"1222","회사에 들어오면서 무슨 생각이 들었는지?"
"1223","요즘 세대는 워라밸을 중요시하는데, 직무에 있어서 어떻게 밸런스를 맞출 것인지"
"1224","5년 후, 10년 후 미래의 모습?"
"1225","이직 이유"
"1226","기존업무"
"1227","현업과 적용 가믕성"
"1228","이 지원자들 중 어떤 사람을 뽑겠습니까?"
"1229","성공했던 경험"
"1230","엔지니어로서의 가장 중요한 덕목"
"1231","회사의 경쟁력 무엇인가요0"
"1232","경력사유"
"1233","이직이유"
"1234","회사에 대해 알고 있는 부분"
"1235","이직인 경우 왜 전 회사를 그만두게 되었나"
"1236","업무를 시작한다면 언제부터 출근 가능한가"
"1237","무엇을 하는 회사인지 알고 있느냐"
"1238","경력사항 직무경험"
"1239","자신의 장점"
"1240","회사에서 발휘할 수있는 부분"
"1241","창의적이었던 경험"
"1242","도전 경험"
"1243","지원동기"
"1244","기존에 다니던 곳의 퇴사를 결심하게 된 이유?"
"1245","사조대림이 당신을 왜 뽑아야 하는 이유?"
"1246","서울 근무가 가능하십니까?"
"1247","사조대림하면 떠오르는 이미지"
"1248","본인이 사조대림에 일조할 수 있는 특별 역량"
"1249","면접을 마치며 마지막으로 하고싶은 말"
"1250","1분 자기소개"
"1251","학창시절 본인이 제일 기억나는 순간"
"1252","자기소개(1차)"
"1253","전공이 다른데, 마케팅 직무를 선택한 이유는?(1차)"
"1254","가장 보람있는 경험은?(1차)"
"1255","꿈은?(1차)"
"1256","자기소개(2차)"
"1257","회사 제품 중 가장 인상 깊었던 것(2차)"
"1258","지원한 직무가 아닌 다른 직무로 뽑혀도 괜찮은지?(2차)"
"1259","1분자기소개"
"1260","성격 장점"
"1261","회사선택기준"
"1262","경력의 경우, 이직 사유, 신입의 경우 입사 지원 동기"
"1263","왜 관련 학과를 선택했는가?"
"1264","졸업 여부"
"1265","자기소개"
