"","회사명","면접질문"
"452","현대엔지니어링(주)","이전 회사에서는 어떤 업종의 회사이며, 어떤 일을 하였급니까?"
"453","현대엔지니어링(주)","당신의 인간관계는 어떻다고 생각하십니까?"
"454","현대엔지니어링(주)","해야 할 일과 하고 싶은 일 중 어떤 것을 선택하겠습니까?"
"455","현대엔지니어링(주)","지원한 업무에 대해 얼마나 알고있는지 질문"
"456","현대엔지니어링(주)","현대 소속이지만 파견 업무라 힘들다는것을 강조하며 할수있는지 질문"
"457","현대엔지니어링(주)","그전에 다녔던 회사에 대해 어떤일을 하고 어떤회사인지에 대한 질문"
"458","현대엔지니어링(주)","전기시공 관리 에서 발주처 대응에 대한 질문"
"459","현대엔지니어링(주)","인지도 면 에서 좋다"
"460","현대엔지니어링(주)","연봉이 높다"
"461","현대엔지니어링(주)","TWA 값에 대해 알고있는 물질 이야기해보세요"
"462","현대엔지니어링(주)","현대엔지니어링에 대해 알고 있는 것을 말해주세요"
"463","현대엔지니어링(주)","이전회사의 퇴사사유는?"
"464","현대엔지니어링(주)","대기업을 그만둔 이유"
"465","현대엔지니어링(주)","자신만이 가지고 있는 핵심역량"
"466","현대엔지니어링(주)","회사 입사 후 포부"
"467","대우조선해양(주)","2년제 비서과와 4년제 비서과의 차이점"
"468","대우조선해양(주)","비서자격증이 무엇인지 설명해라"
"469","대우조선해양(주)","회사에 대해 알고 있나"
"470","(주)동원엔터프라이즈","프로젝트 진행 시 담당했던 역할과 개발한 기능은?"
"471","(주)동원엔터프라이즈","프로젝트 진행하면서 발생했던 문제점은?"
"472","(주)동원엔터프라이즈","취업 외에 관심있는 것이 있다면?"
"473","삼성중공업(주)","직무설명"
"474","삼성중공업(주)","최근 했던 직무 설명"
"475","삼성중공업(주)","직무 경험시 문제였던 점"
"476","(주)LG","현재 회사도 좋은데 lg화학을 지원한 이유는?"
"477","(주)LG","자기소개 1분"
"478","(주)LG","자기 소개에서 말한 경력사항을 자세히 말해보세요"
"479","(주)LG","경력이 짧은데 왜 당신을 뽑아야하는지 이유를 말해보세요"
"480","(주)LG","오는 거리"
"481","(주)LG","단기로 할수 있는지"
"482","(주)LG","스캔업무 경험 있는지"
"483","(주)LG","백회점에서 일해 본 적 있나요?"
"484","(주)LG","우리 회사를 선택한 이유는?"
"485","(주)LG","lg브랜드 화장품 중에 얼마나 아나요?"
"486","(주)LG","특이한 경력사항이 있는데 왜 자사에 지원했는지"
"487","(주)LG","일이 힘든데 괜찮은지"
"488","(주)LG","회사를 선택한 이유"
"489","(주)LG","Ex) 경력사항에 대한 상세한 질문"
"490","(주)LG","Ex) 엑셀 사용 능력"
"491","(주)LG","Ex) 근무 가능 기간"
"492","(주)LG","자신의 미래의 종착지와 LG화학을 연관시켜 애기해보세요"
"493","(주)LG","자기 자신을 한가지 단어로 표현하고 이유를 말해보세요"
"494","(주)LG","자격증을 왜 많이 땄는지"
"495","(주)LG","자신이 딴 자격증은 LG화학에게 어떤 도움이 되는지"
"496","(주)LG","자신이 집과 먼 곳에서 근무하게 된다면 직무에 지장이 가지는 않는지"
"497","(주)LG","경력을 토대로한 자기소개"
"498","(주)LG","LG화학에서의 업무 계획"
"499","(주)LG","지원 동기"
"500","현대위아(주)","경력 사항에 대한 상세한 질문"
"501","현대위아(주)","이직 사유"
"502","현대위아(주)","근무지(평택, 서산)에 대한 본인의 견해"
"503","현대위아(주)","성격장단점"
"504","현대위아(주)","자기소개1분"
"505","현대위아(주)","뜬금없는질문1개"
"506","에이치엠엠(주)","경력 사항에 대한 질문 (다니던 회사에서 어떤 업무)"
"507","에이치엠엠(주)","영문 이메일 작성 가능 여부"
"508","에이치엠엠(주)","평소 업무 처리 스타일 (빠르게/정확하지만 천천히/선배들과 상의하여 등)"
"509","에이치엠엠(주)","자바 개발 경력이 있나요?"
"510","에이치엠엠(주)","현대상선이 어떤 회사 인지 아나요?"
"511","에이치엠엠(주)","오라클 실력이 어떻게 되나요?"
"512","에이치엠엠(주)","본인이 가지고 있는 경력을 현대상선에서 어떻게 성과를 낼 수 있나요?"
"513","에이치엠엠(주)","자금 조달 업무 관련하여 유사 혹은 동일 업무를 경험한 적이 있는가?"
"514","에이치엠엠(주)","계약직으로 근무한 회사에서 이직한 사유는 무엇인가?"
"515","에이치엠엠(주)","현재 회사 업무 중에서 가장 벅찼던 업무는 어떤것인지?"
"516","에이치엠엠(주)","주량, 학창시절 성적 관련 개인 질문"
"517","(주)만도","경력 사항에 대한 상세질문"
"518","(주)만도","회사 제품에 대한 설명과 제품을 어떤 방식으로 설계 할 수 있는가"
"519","(주)만도","방금 한 질문에 대한 대답을 영어로 해 주세요."
"520","(주)만도","취미와 가족사항, 가족들은 뭐하는지? 주말에 뭐하고 지내는지"
"521","(주)케이티앤지","자기소개를 해보세요"
"522","(주)케이티앤지","본인 전공을 지원 직무에 응용할 방안에 대해 생각해본 것이 있나"
"523","(주)케이티앤지","자소서에 oo내용을 지원 동기라고 적었는데, 좀 더 상세하게 설명해줄 수 있나"
"524","(주)케이씨씨","경력사항"
"525","(주)케이씨씨","지원을하게된이유"
"526","(주)케이씨씨","입사후포부"
"527","(주)케이씨씨","1분자기소개"
"528","(주)케이씨씨","취미,특기"
"529","(주)케이씨씨","자신의 장단점"
"530","(주)케이씨씨","15년 후 자신의 모습"
"531","(주)케이씨씨","자신의 별명은?"
"532","(주)케이씨씨","마지막으로 할 말"
"533","금호석유화학(주)","회사에 대해 알고 있는가?"
"534","금호석유화학(주)","취미생활 중 (책) 어떤 걸 하였는가?"
"535","금호석유화학(주)","쉬는 기간동안 뭐했는지"
"536","(주)신세계","본인에 대해서 경력위주로 소개해보시오."
"537","(주)신세계","소비자 입장으로서 스타필드의 장단점은?"
"538","(주)신세계","전회사와 신세계프라퍼티의 차이점은?"
"539","(주)신세계","지원하게 된 이유"
"540","(주)신세계","평소 우리 브랜드에 대한 관심이 있는지"
"541","(주)신세계","우리 회사의 경쟁사는?"
"542","(주)신세계","근무조건"
"543","(주)신세계","품질관리선택이유"
"544","(주)신세계","없습니다"
"545","(주)신세계","회사 외식 브랜드에서 일을 하거나 소비자가 된 적이 있나"
"546","(주)신세계","이 일과 비슷한 직무를 경험해 본 적 있나"
"547","(주)신세계","자신만의 장점을 얘기할 수 있나"
"548","(주)신세계","베이커리의 일을 하지 않았던 이유는?"
"549","(주)신세계","베이커리에서 일하는 선배들의 조언?"
"550","(주)신세계","자신의 비전에 대하 말해라"
"551","(주)신세계","해당라인에 품질관리자라면 어떻게운영할지?"
"552","(주)신세계","할랄 해보았는지어떤점이 어려운지?"
"553","(주)신세계","haacp의 맹점?"
"554","(주)신세계","1분자기소개 및 퇴사이유?"
"555","(주)신세계","생산관리 직무를 수행함에 있어 개선내용"
"556","(주)신세계","재직했었던 회사의 생산환경과 프로레스, 도급운영방식"
"557","(주)신세계","왜 굳이 동일업종으로 지원했는지?"
"558","(주)다우기술","자기소개"
"559","(주)다우기술","직무관련 알고있는 내용 질문"
"560","(주)다우기술","장단점"
"561","(주)다우기술","실패했던 경험"
"562","(주)이랜드월드","자기소개"
"563","(주)이랜드월드","우리 회사의 강점은?"
"564","(주)이랜드월드","이전 직장 퇴사 사유"
"565","(주)이랜드월드","경력 사항에 대한 질문"
"566","(주)이랜드월드","자기소개"
"567","(주)이랜드월드","우리 회사의 강점은?"
"568","(주)이랜드월드","경력 사항에 대한 질문"
"569","(주)이랜드월드","이전 직장 퇴사 사유"
"570","(주)이랜드월드","궁금한 점 있는지..."
"571","(주)이랜드월드","EBG를 통해서 이룬 성과"
"572","(주)이랜드월드","여러 업무를 경험가능"
"573","(주)이랜드월드","옷을 좋아해서"
"574","(주)이랜드월드","지원하게된 계기"
"575","(주)이랜드월드","다른브랜드와 다른점은"
"576","(주)이랜드월드","클레임이 들어왔을때 대처방법"
"577","(주)아모레퍼시픽","제출한 포토폴리오 작업시간 얼마나 걸렸나요?"
"578","(주)아모레퍼시픽","이정도 작업물은 시간이 얼마나 걸리나요?"
"579","(주)아모레퍼시픽","하고싶은 말은?"
"580","(주)아모레퍼시픽","지원하게 된 이유"
"581","(주)아모레퍼시픽","평소 우리 브랜드에 대한 관심이 있는지"
"582","(주)아모레퍼시픽","우리 회사의 경쟁사는?"
"583","한국중부발전","팀워크에서 중요한것은?"
"584","한국중부발전","회사에 대해 아는점은?"
"585","한국중부발전","어떤 업무를 맡고싶은지?"
"586","(주)파리크라상","업무 경력"
"587","(주)파리크라상","지원동기"
"588","(주)파리크라상","근무시간과 인간관계"
"589","(주)카카오","기존하던 업무와 다른 업무로 지원한 이유?"
"590","(주)카카오","기존 퇴사사유를 보니 워라밸을 중시하는거 같은데?"
"591","(주)카카오","업무관련 갈등이 발생했을때 어떻게 해결할지?"
"592","(주)카카오","관련경력 및 프로젝트에 대해 문의"
"593","(주)카카오","현재 카카오의 캐릭터/콘텐츠와 콜라보레이션하면 어울릴 브랜드"
"594","(주)카카오","본인보다 나이가 적은 동료나 상사와 일해본적 있는지(불펴한점이 없을지)"
"595","롯데하이마트(주)","자기소개서"
"596","롯데하이마트(주)","어느 부서로 가고싶은가"
"597","롯데하이마트(주)","반복되는 업무 괜찮은가"
"598","롯데하이마트(주)","전 직장에서는 왜 그만두었나"
"599","롯데하이마트(주)","전 직장에서 어떤일을 했었나"
"600","롯데하이마트(주)","유럽은 얼마동안 다녀온건가"
"601","롯데하이마트(주)","자신의 장점 어필"
"602","롯데하이마트(주)","이전 업무와 괴리감이 느껴지면 어떻게 극복하겠습니까"
"603","롯데하이마트(주)","하이마트에 대해 말해보시오"
"604","롯데하이마트(주)","이직이유"
"605","롯데하이마트(주)","우리 회사에 지원한 이유는?"
"606","롯데하이마트(주)","취미생활이 뭔가요?"
"607","롯데하이마트(주)","알바경력 있어요?"
"608","롯데하이마트(주)","동종업계 경력"
"609","롯데하이마트(주)","회사에 방문해 본적이 있는지"
"610","롯데하이마트(주)","마지막 할말"
"611","롯데하이마트(주)","스트레스 해소법"
"612","롯데하이마트(주)","아르바이트 경험 유무"
"613","롯데하이마트(주)","회사에 지원하게 된 이유"
"614","롯데하이마트(주)","하이마트 매장에 개선되어야 할 점"
"615","롯데하이마트(주)","자신의 인생에서 목표를 이루었던 점"
"616","코오롱인더스트리(주)","경력 사항에 대한 자세한 질문"
"617","코오롱인더스트리(주)","전공에 관련된 질문"
"618","코오롱인더스트리(주)","회사에 궁금한 점"
"619","코오롱인더스트리(주)","마곡 집값비싼데 괜찮겠느냐??"
"620","코오롱인더스트리(주)","실제로 그 제품은 얼마나 사용되는가?"
"621","코오롱인더스트리(주)","기타 제 경력발표중 궁금한것 질문"
"622","한국주택금융공사","경력에 관한 사항"
"623","한국주택금융공사","한국주택 금융공사에 대한 이미지"
"624","한국주택금융공사","회사 지원 동기"
"625","비엠더블유코리아","성형외과를 근무했다고 되어있던데 강성 컴플레인의 구체적 예시와 답변을 어떻게 했었는지 말씀해주세요."
"626","비엠더블유코리아","BMW에 지원하게된 입사 동기를 이야기해보세요."
"627","비엠더블유코리아","어머니께서 BMW차량을 소유하고 계시다고 했는데 차종을 이야기해보세요."
"628","비엠더블유코리아","기어 옆에 동그란게 있죠?"
"629","비엠더블유코리아","그것의 이름은 어떻게 되나요?"
"630","비엠더블유코리아","1,3,5,7 그리고 2,4,6,8 등 이름이 많은데 그것의 분류는 어떻게 되는지 알고 계시나요?"
"631","코오롱글로벌(주)","우리회사에 대하여"
"632","코오롱글로벌(주)","나에 대하여"
"633","코오롱글로벌(주)","나의 힘든시기"
"634","아시아나항공(주)","앞으로 트렌드 설명"
"635","아시아나항공(주)","본인이 말한 트렌드 영어로 외국인에게 설명해보아라"
"636","아시아나항공(주)","책과 영화 중 선호하는것은? 이유"
"637","키움증권(주)","회사 선택 기준은?"
"638","키움증권(주)","가장 힘들었던 것은?"
"639","키움증권(주)","회사 입사 후 비전은?"
"640","신한카드(주)","이전에 어디서 일했나요"
"641","신한카드(주)","어디사나요? 버스로 얼마나 걸려요?"
"642","신한카드(주)","얼마 받고 싶나요"
"643","한국수자원공사","지원이유"
"644","한국수자원공사","최신화 사업이 무었인지 아느냐"
"645","한국수자원공사","관련 전문 단어에 대한 질문"
"646","(주)지오영","경력사항"
"647","(주)지오영","성격의 단점"
"648","(주)지오영","회사를 선택한 이유"
"649","(주)지오영","경력사항에 대한 질문"
"650","(주)지오영","지원동기 및 미래 포부"
"651","(주)지오영","사회경험에 대해서 .."
"652","(주)엔엑스씨","지원동기 및 전반적인 학교생활(학과의 특성, 전공 수업 등)"
"653","(주)엔엑스씨","경험 관련(실패한 경험 등)"
"654","(주)엔엑스씨","상황에 따른 토론 / 직무 관련 내용 질문"
"655","KG케미칼(주)","울산으로 오게된 이유?"
"656","KG케미칼(주)","어떠한 업무를 해야하는데 할수있을지?"
"657","KG케미칼(주)","우리회사에 지원하게 된 동기"
"658","KG케미칼(주)","공장의 외관에 대해 느낀점을 말해보세요."
"659","KG케미칼(주)","우리 회사의 사업 품목에 대해 알고있습니까? 알고있다면 말해보세요"
"660","KG케미칼(주)","생산직 직원들과 많이 부딪힐예정인데 어떻게 하시겠습니까?"
"661","KG케미칼(주)","kg의 뜻"
"662","KG케미칼(주)","우리 회사에 도움이 될 수 있는 일"
"663","KG케미칼(주)","마지막으로 하고 싶은 말"
"664","한국서부발전","한국서부발전의 어떤점이 좋아 지원했는가?"
"665","한국서부발전","직무에 관한 자기역량 어필"
"666","한국서부발전","업무를 해본 경험과 어떤 노력을 했는지"
"667","(주)한화건설","Why did you apply to this job?"
"668","(주)한화건설","왜 우리회사를 선탹하였는가?"
"669","(주)한화건설","지원한 업무가 무슨일인지 설명하시오."
"670","소상공인시장진흥공단","1분 자기소개"
"671","소상공인시장진흥공단","본인이 한 창의적인 행동"
"672","소상공인시장진흥공단","합격한다면 어떤 부서에 가고 싶은지"
"673","소상공인시장진흥공단","공공기관이 갖춰야 할 덕목?"
"674","소상공인시장진흥공단","일경험"
"675","소상공인시장진흥공단","단기근무가능"
"676","소상공인시장진흥공단","누구나 할수 있다."
"677","삼성카드(주)","집과 거리가 먼데 다니는데 문제가 있지 않을까요?"
"678","삼성카드(주)","이전 회사를 그만 둔 이유가 무엇인가요?"
"679","삼성카드(주)","조용해 보이는데 사람을 많이 상대하는 부서인데 괜찮겠어요?"
"680","(주)씨제이이엔엠","편집 경험은 있는지"
"681","(주)씨제이이엔엠","요즘 유행하는 밈 아는 게 있는지"
"682","(주)씨제이이엔엠","얼마 정도 일을 할 수 있는지"
"683","(주)씨제이이엔엠","평소 공연을 얼마나 보시는지?"
"684","(주)씨제이이엔엠","집콘을 기획하신다면 어떻게 하실건지?"
"685","(주)씨제이이엔엠","코로나가 장기화 된다면 어떻게 하실건지?"
"686","(주)씨제이이엔엠","회계 관련 경험이 있는지?"
"687","(주)씨제이이엔엠","공연기획을 해본다면 어떤 소재로 하고 싶은지?"
"688","(주)씨제이이엔엠","포스트 코로나에 공연 부문이 나아가야 할 방향성"
"689","(주)농협하나로유통","종전근무지 업무는 ? 퇴사사유"
"690","(주)농협하나로유통","화사에 지원동기와 기업에 대한 이해도 (알바경험얘기함)"
"691","(주)농협하나로유통","강의 경험 (횟수및 교육인원) 운전가능여부"
"692","(주)현대그린푸드","전에일하던곳에서는 어떠한일을하엿는가"
"693","(주)현대그린푸드","자신이 겪어본 경험"
"694","(주)현대그린푸드","자신에대한 예기를 많이꺼낼수있게 유도질문"
"695","(주)현대그린푸드","경력사항 전직장에서 했었던 일"
"696","(주)현대그린푸드","최근에 업계관련이슈"
"697","(주)현대그린푸드","보유역량"
"698","(주)현대그린푸드","지원동기"
"699","(주)현대그린푸드","협력업체 다닌 곳과 어떤 업무를 했는지"
"700","(주)현대그린푸드","회사를 선택한 이유"
"701","(주)현대그린푸드","생산관리에서 제일 중요한점은?"
"702","(주)현대그린푸드","재직했었던 회사의 식품군과 다뤘던 제품수?"
"703","(주)현대그린푸드","재직했었던 회사의 노무비율과 원부재료비율?"
"704","(주)현대그린푸드","생산관리에서 주업무? 출근하자마자 하는일 나열해보시오"
"705","(주)현대그린푸드","왜 자격증이 없냐"
"706","(주)현대그린푸드","현대그린푸드에 대한 대외적 이미지"
"707","(주)현대그린푸드","회사 지원동기"
"708","코웨이(주)","가장 힘들었던 경험은?"
"709","코웨이(주)","1분 자기소개"
"710","코웨이(주)","코웨이 지원동기"
"711","코웨이(주)","디지털 트랜스포메이션에서 업무에 적용하면 좋을만한 기술은?"
"712","코웨이(주)","적용하면 어떤식으로 적용할지?"
"713","코웨이(주)","해당 기술에 어떠한 지식을 갖고 있는지"
"714","코웨이(주)","경력 사항에 대한 질문?"
"715","코웨이(주)","업무에 대해 궁금한게 있는지?"
"716","코웨이(주)","우리 회사가 면접자를 택해야 하는 이유?"
"717","코웨이(주)","대기 중 보여드렸던 영상 중 감격 깊은 장면은?"
"718","코웨이(주)","우리 회사의 강점은?"
"719","코웨이(주)","회사를 선택한 이유"
"720","(주)호텔신라","자기소개"
"721","(주)호텔신라","이력서 보시고 전에 일 할 때 어떤 일을 하였는지"
"722","(주)호텔신라","꽃 관련 질문( 계절별 꽃 1개씩 말하기등등)"
"723","(주)호텔신라","경력사항에 관한질문"
"724","(주)호텔신라","서비스의 대한 자신만의 신념이 있나"
"725","(주)호텔신라","정직원이 되기위한 노력"
"726","(주)호텔신라","어떻게 지원하게 되었는지?"
"727","(주)호텔신라","전 직장에서는 어떤 직무를 수행하였는지?"
"728","(주)호텔신라","입사하게 된다면 직무를 잘 수행할거라 생각하는지?"
"729","(주)호텔신라","한글로 자기소개"
"730","(주)호텔신라","호텔에 대해서 사전조사 했는지"
"731","(주)호텔신라","햇빛알러지 있는지"
"732","(주)호텔신라","제일 힘들게 일한게 어떤 상황이었는지"
"733","(주)호텔신라","호텔 경력이 긴데 어떻게 버텼는지"
"734","(주)호텔신라","그렇다면 그 호텔에서 뭘 배웠는지"
"735","(주)호텔신라","자기소개 및 장단점"
"736","(주)호텔신라","경력관련"
"737","(주)호텔신라","원하는 부서"
"738","(주)호텔신라","과가 프랑스어과인데 왜 서비스를 하려고 하는지"
"739","(주)호텔신라","서비스직 경험이 있는지"
"740","(주)호텔신라","기본적인 경험 질문"
"741","(주)호텔신라","냉동사이클의 구성을 설명하시오"
"742","(주)호텔신라","강제순환 공조기와 외기도입식 공조순환방식의 차이를 설명하시오"
"743","(주)호텔신라","현장 안전관리에 있어 중요하다고 생각하는 점을 얘기해보시오"
"744","(주)호텔신라","자기소개"
"745","(주)호텔신라","기억에 남는 착한손님, 나쁜손님"
"746","(주)호텔신라","취미"
"747","(주)호텔신라","성격이 급한편? 차분한편?"
"748","(주)호텔신라","지금 딱 생각나는 친구가 있나"
"749","(주)호텔신라","마지막할말"
"750","(주)호텔신라","회사와 이 업무에 대해 알아보셨나요?"
"751","(주)호텔신라","문화적 차이에 대해 괜찮으실지...?"
"752","(주)호텔신라","전에 일했던 회사가 어땠나요?"
"753","(주)호텔신라","자기소개"
"754","(주)호텔신라","지원동기"
"755","(주)호텔신라","영어자기소개"
"756","(주)호텔신라","경력에대한 질문"
"757","(주)호텔신라","이직하려는 이유"
"758","(주)호텔신라","자기소개 지원동기"
"759","(주)인터파크","경력사항에 대한 질문"
"760","(주)인터파크","어도비 프로그램 사용 유무"
"761","(주)인터파크","회사와 자택 거리"
"762","(주)인터파크","여기오기전에 어떤일을 했습니까"
"763","(주)인터파크","어떤 역량을 발휘 할 수 있습니까"
"764","(주)인터파크","회사를 선택한 이유"
"765","(주)인터파크","전 직장에서 했던 업무는?"
"766","(주)인터파크","어떤 업무를 두고 이런 업무도 했었나요?"
"767","(주)인터파크","이런이런 업무를 할껀데 괜찮나요?"
"768","(주)인터파크","우리회사를 어떻게 알고있는지?"
"769","(주)인터파크","하게 될 직무에 어떤 준비를 하였는지?"
"770","(주)인터파크","이직사유"
"771","효성중공업(주)","직무 관련 질문"
"772","효성중공업(주)","회사에서 사용하는 시스템 관련 질문"
"773","효성중공업(주)","회사에 궁금한점"
"774","효성중공업(주)","전에 회사에서 어떤일을 하였는가?"
"775","효성중공업(주)","어떤 이유로 이직 하게 되었는가?"
"776","효성중공업(주)","할수있는 프로그램과 어느정도의 사용가능한가?"
"777","쌍용자동차(주)","자동차 일 경험"
"778","쌍용자동차(주)","안전사고"
"779","쌍용자동차(주)","업무숙지"
"780","현대코퍼레이션(주)","간단한 자기소개"
"781","현대코퍼레이션(주)","출퇴근 어떻게 할 것인지"
"782","현대코퍼레이션(주)","이전직장은 왜 그만두었는지"
"783","현대코퍼레이션(주)","첫직장과 두번째 직장의 업종이 다른데 왜 그런지"
"784","현대코퍼레이션(주)","다른회사에는 면접이 잡혀있는지"
"785","롯데글로벌로지스(주)","1분 자기소개"
"786","롯데글로벌로지스(주)","마지막으로 할말"
"787","롯데글로벌로지스(주)","자기소개서기반의 경력사항 질문"
"788","롯데글로벌로지스(주)","전 회사를 그만 둔 이유"
"789","롯데글로벌로지스(주)","향후 회사의 신사업 제안 (토론 면접)"
"790","롯데글로벌로지스(주)","학교 등에서 동호회 등 그룹활동 경험"
"791","동원산업(주)","자기소개"
"792","동원산업(주)","지원동기"
"793","동원산업(주)","왜 당신을 뽑아야 하는가"
"794","동원산업(주)","지원동기"
"795","동원산업(주)","마지막할말"
"796","동원산업(주)","피티"
"797","동원산업(주)","경력사항과 본인의 강점은?"
"798","동원산업(주)","미래에 동원산업이 지향 되어야 할 점은?"
"799","동원산업(주)","동원인이 된다면 각오와 목표"
"800","(주)아이마켓코리아","이전 회사에서 맡은 업무에 대한 상세질문"
"801","(주)아이마켓코리아","자회사 재무상태표 본적있는지?"
"802","(주)아이마켓코리아","이전 회사를 그만둔 이유"
"803","한국항공우주산업(주)","갑.을 관계에 대한 기성세대와 현세대의 관점 차이는 무엇이라 생각하는가?"
"804","한국항공우주산업(주)","학창 시절 맡았던 팀 프로젝트 설명과 프로그램 사용한거 어느 여부까지 사용 가능한지 설명해보아라"
"805","한국항공우주산업(주)","회사 직무 선택 이유는?"
"806","현대로템(주)","긴장될 때 어떻게 푸는지?"
"807","현대로템(주)","나의 성격은?"
"808","현대로템(주)","회사의 부당한 업무에 대해 어떻게 생각하는지?"
"809","현대로템(주)","자기소개"
"810","현대로템(주)","경력을 토대로 질문"
"811","현대로템(주)","자신의 성격이 어떠한지?"
"812","현대로템(주)","회사 선택한 이유"
"813","현대로템(주)","퇴사 후 이직 이유"
"814","현대로템(주)","자신을 한단어로 표현한다면?"
"815","현대로템(주)","경력사항에 대한 간단한 설명"
"816","현대로템(주)","간단한 회사정보"
"817","현대로템(주)","성격 장단점"
"818","현대로템(주)","경력이 없는데 괜찮겠는가"
"819","현대로템(주)","지방근무 괜찮겠는가"
"820","현대로템(주)","전기도면 볼 수 있는가 등"
"821","현대로템(주)","이직사유 중 가장 와 닿을수 있는 이유가 있나요?"
"822","현대로템(주)","지원자가 생각하는 현대로템의 미래는?"
"823","현대로템(주)","가장 기본적인 저희회사에 매출액은?"
"824","현대로템(주)","방산, 철도 둘중 왜 (두곳중 한곳)이곳을 선택했나?"
"825","현대로템(주)","연봉이 적어젔는데 그에 대해선 어떻게생각하시는지?"
"826","(주)제일기획","왜 1-2년 갭이 있나요? 이 때 뭘 하셨나요?"
"827","(주)제일기획","대학원 전공을 선택한 이유는?"
"828","(주)제일기획","업종이 다양하게 바뀐 이유는?"
"829","(주)제일기획","경력사항"
"830","(주)제일기획","장단점"
"831","(주)제일기획","계약 도중 다른곳에 입사가 되면 어떻게 할것이냐"
"832","(주)제일기획","PR이란 무엇이라고 생각하나"
"833","(주)제일기획","왜 PR에 관심을 가지게 되었나"
"834","(주)제일기획","기억에 남는 특정 기업 및 제품의 PR이나 마케팅"
"835","(주)아성","경력사항에대한 질문"
"836","(주)아성","해당직무에대해 잘 알고 있는지"
"837","(주)아성","상황대처능력 질문"
"838","(주)아성","에어컨 설치가 아니더라도 관련 설치 작업을 한적이 있는가?"
"839","(주)아성","어디서 공고를 보았는가?"
"840","(주)아성","앞으로 이 일을 하는 비전을 알고 있는가?"
"841","(주)아성","이전 경력 관련된 질문 굉장히 많이함"
"842","(주)아성","퇴사한 이유는? 여기에 합격해서 다니게 될 동안 똑같은 어려움을 만난다면?"
"843","(주)아성","스트레스는 어떻게 푸나요?"
"844","(주)아성","해당 직무 외에 타부서로 이동하게 된다면 어떻게 하겠는지"
"845","(주)아성","신입사원한테 어떤게 가장 중요하다고 생각하는지"
"846","(주)아성","거래처 관리에 있어서 인간적으로vs원칙대로 어느쪽이 중요하다고 생각?"
"847","(주)아성","연봉은 어느정도?"
"848","(주)아성","간단한 영어/일본어 질문"
"849","(주)아성","본인이 해당 직무에 어울리는 이유는?"
"850","(주)아성","요즘 읽고 있는 책은?"
"851","(주)아성","경력"
"852","(주)아성","다이소 메리트"
"853","(주)아성","왜 다이소인가?"
"854","(주)아성","전직장은 왜그만뒀죠?"
"855","(주)아성","지원한 이유는??"
"856","(주)아성","본인은 어떤성격을 가지고 있나요?"
"857","(주)아성","이 직무를 수행할 때 본인이 내세울 수 있는 강점"
"858","(주)아성","지원한 직무를 스포츠로 비유한다면?"
"859","(주)아성","일을 할 때 가장 중요하다고 생각하는 것은?"
"860","(주)아성","지금 지원한 직무 이외에 다른 직무로 이동권유를 받는다면 갈 의향이 있는가."
"861","(주)아성","이 직무는 무슨 일을 하는 곳이라고 생각하는가"
"862","(주)아성","직무의 강점 및 약점"
"863","(주)아성","직무의 전문성과 이해도"
"864","(주)아성","상황별 대처능력"
"865","(주)아성","1분자기소개"
"866","(주)아성","아성hmp회사에 대해 아는것 말해보세요"
"867","(주)아성","다이소에서 가장 기억에 남는 상품과 이유"
"868","한성자동차","남자친구 있는지"
"869","한성자동차","담배 피는지"
"870","한성자동차","핸드폰 잘 안 만지는지"
"871","(주)농심","자기소개"
"872","(주)농심","회사와 집과의 거리"
"873","(주)농심","직무 특성 극복방안"
"874","(주)농심","회사의 지원동기와 자기소개를 간단히 해주세요"
"875","(주)농심","왜 이 직무를 선택했는지?"
"876","(주)농심","전공이 직무랑 일치하지 않는데 어떻게 생각하나요?"
"877","(주)농심","어떤음식 좋아하는가"
"878","(주)농심","왜 그런 주제를 선택하게 되었는가"
"879","(주)농심","좀 더 학문적으로 연구할 생각은 없는가"
"880","(주)농심","학교생활동안 어떤 사람인지"
"881","(주)농심","옆 사람보다 자격증 없는 이유"
"882","(주)농심","직무 중 자신있는거는"
"883","(주)농심","생기부랑 이력서 보고 질문"
"884","(주)농심","호화 노화"
"885","(주)농심","라면공정"
"886","(주)농심","대학성적"
"887","(주)농심","자기소개서 관련 질문"
"888","(주)농심","소맥분 글루텐 함량에 대한"
"889","(주)농심","동결건조란?"
"890","(주)농심","HACCP의 사전조치는?"
"891","(주)농심","만약에 공장에 비둘기가 침입한다면 어떻게 조치할 것인가?"
"892","앰코테크놀로지코리아(주)","지원동기"
"893","앰코테크놀로지코리아(주)","회사/반도체 이해도"
"894","앰코테크놀로지코리아(주)","업무와 연관된 자신의 강점"
"895","앰코테크놀로지코리아(주)","무언가로 자신을 표현 (예시:들꽃,나무 등등-이건 본인이 말해야함)"
"896","앰코테크놀로지코리아(주)","본인의 인생관 (인화,창조 등 말하면 됨)"
"897","앰코테크놀로지코리아(주)","본받고 싶은 사람"
"898","앰코테크놀로지코리아(주)","회사에 다니다가 다른 회사가 들어온다면 지원하겠는가?"
"899","앰코테크놀로지코리아(주)","어려운 과목은 무엇인가?"
"900","앰코테크놀로지코리아(주)","코로나 전과 후의 취미가 무엇이었는가?"
"901","앰코테크놀로지코리아(주)","현재까지 내가 했던 업무에 대해서 PPT로 준비하게 하고 면접당일에 영어로 발표하게 함."
